"","variety","variety_ID","clone_ID","clone_num","year","bud_day","flow_day","ver_day","mat_day","notes","BB","FLOW","VER","MAT","review","DiffBudMat","DiffBudFlow","DiffFlowVer","DiffVerMat","DiffBudVer"
"57","Aramon_Noir","22","22Mpt2","",2008,"6/3/2008","25/5/08","7/8/2008","3/9/2008",NA,2008-03-06,2008-05-25,2008-08-07,2008-09-03,NA,181,80,74,27,154
"58","Aramon_Noir","22","22Mpt2","",2009,"15/3/09","26/5/09","27/7/09","24/8/09",NA,2009-03-15,2009-05-26,2009-07-27,2009-08-24,NA,162,72,62,28,134
"59","Aramon_Noir","22","22Mpt2","",2010,"24/3/10","31/5/10","2/8/2010","10/9/2010",NA,2010-03-24,2010-05-31,2010-08-02,2010-09-10,NA,170,68,63,39,131
"60","Aramon_Noir","22","22Mpt2","",2011,"12/3/2011","17/5/11","28/7/11","12/9/2011",NA,2011-03-12,2011-05-17,2011-07-28,2011-09-12,NA,184,66,72,46,138
"61","Aramon_Noir","22","22Mpt2","",2012,"19/3/12","28/5/12","1/8/2012","6/9/2012",NA,2012-03-19,2012-05-28,2012-08-01,2012-09-06,NA,171,70,65,36,135
"62","Aramon_Noir","22","22Mpt2","",2013,"20/3/13","6/6/2013","12/8/2013","",NA,2013-03-20,2013-06-06,2013-08-12,NA,NA,NA,78,67,NA,145
"63","Aramon_Noir","22","22Mpt3","",1956,"27/3/56","","","24/9/56",NA,1956-03-27,NA,NA,1956-09-24,NA,181,NA,NA,NA,NA
"64","Aramon_Noir","22","22Mpt3","",1957,"13/3/57","","","23/9/57",NA,1957-03-13,NA,NA,1957-09-23,NA,194,NA,NA,NA,NA
"65","Aramon_Noir","22","22Mpt3","",1958,"26/3/58","","","10/9/1958",NA,1958-03-26,NA,NA,1958-09-10,NA,168,NA,NA,NA,NA
"66","Aramon_Noir","22","22Mpt3","",1959,"17/3/59","","","12/9/1959",NA,1959-03-17,NA,NA,1959-09-12,NA,179,NA,NA,NA,NA
"67","Aramon_Noir","22","22Mpt3","",1960,"15/3/60","","","5/9/1960",NA,1960-03-15,NA,NA,1960-09-05,NA,174,NA,NA,NA,NA
"68","Aramon_Noir","22","22Mpt3","",1976,"","","12/8/1976","",NA,NA,NA,1976-08-12,NA,NA,NA,NA,NA,NA,NA
"69","Aramon_Noir","22","22Mpt3","",1977,"","","16/8/77","",NA,NA,NA,1977-08-16,NA,NA,NA,NA,NA,NA,NA
"70","Aramon_Noir","22","22Mpt3","",1978,"","","16/8/78","",NA,NA,NA,1978-08-16,NA,NA,NA,NA,NA,NA,NA
