"year","lat.lon","lo","tempadj","gdd","site"
1963,"48.8333 12.9667",111,4.91983595560686,300.109993292019,4
1963,"48.8833 12.6",110,5.78918019847059,353.139992106706,5
1963,"49.1667 11.45",111,5.60524577635233,341.919992357492,6
1963,"49.3333 10.8",122,6.01754084910403,367.069991795346,7
1963,"49.4 11.4",118,5.80295068996607,353.979992087931,8
1963,"49.45 10.3167",118,5.79163921480907,353.289992103353,9
1963,"49.4667 9.58333",115,6.25639330278166,381.639991469681,10
1963,"49.7167 10.2167",116,6.49868837933315,396.419991139322,11
1963,"49.95 11.1667",122,5.50311463109416,335.689992496744,12
1963,"50 8.71667",106,7.44622934176052,454.219989847392,13
1963,"50.3 10.4667",124,5.70852446256847,348.219992216677,14
1963,"50.4167 10.3833",111,5.70852446256847,348.219992216677,15
1963,"50.5167 8.81667",109,6.13786871526696,374.409991631284,16
1963,"52.4 9.45",118,6.43311461030704,392.419991228729,17
1964,"48.4333 10.4167",118,5.68819659417037,346.979992244393,1
1964,"48.5833 12.1833",108,5.61672118593191,342.619992341846,2
1964,"48.7167 9.21667",108,6.1598359278907,375.749991601333,3
1964,"48.8333 12.9667",110,4.92999988980591,300.729993278161,4
1964,"48.8833 12.6",112,5.92163921190334,361.219991926104,5
1964,"49.1667 11.45",109,5.29967201269064,323.279992774129,6
1964,"49.3333 10.8",118,5.69524577434068,347.409992234781,7
1964,"49.4 11.4",111,5.34065561833196,325.779992718249,8
1964,"49.45 10.3167",114,5.434917911307,331.529992589727,9
1964,"49.4667 9.58333",118,6.0091801935532,366.559991806745,10
1964,"49.7167 10.2167",116,5.99885232493159,365.929991820827,11
1964,"49.95 11.1667",127,5.02950808430304,306.799993142486,12
1964,"50 8.71667",108,6.62688509777921,404.239990964532,13
1964,"50.3 10.4667",110,5.19196709706524,316.70999292098,14
1964,"50.4167 10.3833",110,5.19196709706524,316.70999292098,15
1964,"50.5167 8.81667",109,5.24606545651179,320.009992847219,16
1964,"52.4 9.45",110,5.31606545494717,324.279992751777,17
1965,"48.4333 10.4167",124,4.81590153170047,293.769993433729,1
1965,"48.5833 12.1833",122,4.82213103975795,294.149993425235,2
1965,"48.7167 9.21667",111,5.53885233521339,337.869992448017,3
1965,"48.8333 12.9667",115,3.98606548467498,243.149994565174,4
1965,"48.8833 12.6",105,5.18393431035954,316.219992931932,5
1965,"49.1667 11.45",122,4.67836055116819,285.37999362126,6
1965,"49.3333 10.8",129,4.97639333139189,303.559993214905,7
1965,"49.4 11.4",123,4.58540973357368,279.709993747994,8
1965,"49.45 10.3167",131,4.88360644821994,297.899993341416,9
1965,"49.4667 9.58333",127,5.41229496099299,330.149992620572,10
1965,"49.7167 10.2167",114,5.50360643436186,335.719992496073,11
1965,"49.95 11.1667",126,4.34245891933192,264.889994079247,12
1965,"50 8.71667",105,6.41622936478282,391.389991251752,13
1965,"50.3 10.4667",133,4.86852448134393,296.97999336198,14
1965,"50.4167 10.3833",124,4.86852448134393,296.97999336198,15
1965,"50.5167 8.81667",103,5.27065561989658,321.509992813691,16
1965,"52.4 9.45",111,5.51606545047682,336.479992479086,17
1966,"48.4333 10.4167",119,6.1560654361717,375.519991606474,1
1966,"48.5833 12.1833",106,6.33065559620373,386.169991368428,2
1966,"48.7167 9.21667",104,6.6359014910203,404.789990952238,3
1966,"48.8333 12.9667",100,5.57622938355828,340.149992397055,4
1966,"48.8833 12.6",110,6.94918017254257,423.899990525097,5
1966,"49.1667 11.45",110,6.03622937327648,368.209991769865,6
1966,"49.3333 10.8",117,6.42786870878495,392.099991235882,7
1966,"49.4 11.4",112,5.97180314520832,364.279991857707,8
