"id","provenance.lat","provenance.long","genus","species","year","budburst","leafout","last.obs","yr.end","gdd.start","type","climatetype","id_year_type","gdd_bb","gdd_dvr","fs.count","gdd_lo","utah"
"86289",42.307153,-71.120872,"Tilia","americana",2019,115,115,293,365,46,"Treespotters","weldhill","86289;2019;weldhill",373.804130434783,10.2608695652174,0,373.804130434783,989
"87757",42.307153,-71.120872,"Tilia","americana",2016,94,118,280,366,46,"Treespotters","weldhill","87757;2016;weldhill",280.791205533597,199.012608695652,1,479.128162055336,2285.5
"87757",42.307153,-71.120872,"Tilia","americana",2017,109,116,270,365,46,"Treespotters","weldhill","87757;2017;weldhill",364.123913043478,73.8221739130435,0,431.029565217391,1221
"87757",42.307153,-71.120872,"Tilia","americana",2018,123,124,262,365,46,"Treespotters","weldhill","87757;2018;weldhill",444.858833992095,47.5182608695652,0,468.59709486166,416.5
"87757",42.307153,-71.120872,"Tilia","americana",2019,113,123,276,365,46,"Treespotters","weldhill","87757;2019;weldhill",350.669782608696,100.956956521739,0,442.447173913043,1023.5
"87756",42.307153,-71.120872,"Quercus","alba",2016,115,133,291,366,46,"Treespotters","weldhill","87756;2016;weldhill",454.007727272727,191.763913043478,0,636.585553359684,2021.5
"87756",42.307153,-71.120872,"Quercus","alba",2017,117,120,288,365,46,"Treespotters","weldhill","87756;2017;weldhill",444.645217391304,65.6869565217391,0,496.71652173913,1221
"87756",42.307153,-71.120872,"Quercus","alba",2019,113,123,288,365,46,"Treespotters","weldhill","87756;2019;weldhill",350.669782608696,100.956956521739,0,442.447173913043,1047
"86278",42.307153,-71.120872,"Populus","deltoides",2016,110,136,265,366,46,"Treespotters","weldhill","86278;2016;weldhill",386.78337944664,307.009130434783,0,684.617727272727,2645.5
"86278",42.307153,-71.120872,"Populus","deltoides",2017,107,124,247,365,46,"Treespotters","weldhill","86278;2017;weldhill",349.632608695652,209.443043478261,0,540.299130434783,1221
"86278",42.307153,-71.120872,"Populus","deltoides",2018,117,124,260,365,46,"Treespotters","weldhill","86278;2018;weldhill",351.141877470356,127.801304347826,0,468.59709486166,376.5
"86278",42.307153,-71.120872,"Populus","deltoides",2019,123,123,260,365,46,"Treespotters","weldhill","86278;2019;weldhill",442.447173913043,9.88913043478261,0,442.447173913043,895.5
"86279",42.307153,-71.120872,"Populus","deltoides",2017,107,124,236,365,46,"Treespotters","weldhill","86279;2017;weldhill",349.632608695652,209.443043478261,0,540.299130434783,1221
"86279",42.307153,-71.120872,"Populus","deltoides",2018,117,124,236,365,46,"Treespotters","weldhill","86279;2018;weldhill",351.141877470356,127.801304347826,0,468.59709486166,65.5
"86280",42.307153,-71.120872,"Populus","deltoides",2016,122,136,304,366,46,"Treespotters","weldhill","86280;2016;weldhill",514.625553359684,178.264782608696,0,684.617727272727,221.5
"86280",42.307153,-71.120872,"Populus","deltoides",2017,107,124,239,365,46,"Treespotters","weldhill","86280;2017;weldhill",349.632608695652,209.443043478261,0,540.299130434783,1221
"86280",42.307153,-71.120872,"Populus","deltoides",2018,117,129,251,365,46,"Treespotters","weldhill","86280;2018;weldhill",351.141877470356,203.01652173913,0,543.812312252964,241
"86281",42.307153,-71.120872,"Populus","deltoides",2017,107,124,236,365,46,"Treespotters","weldhill","86281;2017;weldhill",349.632608695652,209.443043478261,0,540.299130434783,1221
"86281",42.307153,-71.120872,"Populus","deltoides",2018,117,124,236,365,46,"Treespotters","weldhill","86281;2018;weldhill",351.141877470356,127.801304347826,0,468.59709486166,65.5
"86281",42.307153,-71.120872,"Populus","deltoides",2019,123,128,238,365,46,"Treespotters","weldhill","86281;2019;weldhill",442.447173913043,68.8230434782609,0,501.381086956522,469
"86282",43.13047,-77.604658,"Populus","deltoides",2016,127,133,229,366,46,"Treespotters","weldhill","86282;2016;weldhill",555.039466403162,90.5534782608696,0,636.585553359684,3509.5
"86282",43.13047,-77.604658,"Populus","deltoides",2017,102,120,236,365,46,"Treespotters","weldhill","86282;2017;weldhill",274.954347826087,235.616086956522,0,496.71652173913,1221
"86282",43.13047,-77.604658,"Populus","deltoides",2018,117,118,236,365,46,"Treespotters","weldhill","86282;2018;weldhill",351.141877470356,25.9517391304348,0,366.747529644269,65.5
"86282",43.13047,-77.604658,"Populus","deltoides",2019,123,128,229,365,46,"Treespotters","weldhill","86282;2019;weldhill",442.447173913043,68.8230434782609,0,501.381086956522,276.5
"85757",35.054271,-83.201019,"Aesculus","flava",2016,114,116,189,366,46,"Treespotters","weldhill","85757;2016;weldhill",444.821640316206,34.6286956521739,0,465.100770750988,221.5
"85757",35.054271,-83.201019,"Aesculus","flava",2017,107,114,256,365,46,"Treespotters","weldhill","85757;2017;weldhill",349.632608695652,80.1252173913043,0,410.981304347826,1221
"85757",35.054271,-83.201019,"Aesculus","flava",2018,116,117,260,365,46,"Treespotters","weldhill","85757;2018;weldhill",340.795790513834,25.5278260869565,0,351.141877470356,376.5
"85757",35.054271,-83.201019,"Aesculus","flava",2019,104,109,257,365,46,"Treespotters","weldhill","85757;2019;weldhill",233.340217391304,76.1847826086957,0,295.035,842
"85755",35.054271,-83.201019,"Aesculus","flava",2016,111,112,282,366,46,"Treespotters","weldhill","85755;2016;weldhill",396.095553359684,24.574347826087,0,411.357727272727,221.5
"85755",35.054271,-83.201019,"Aesculus","flava",2017,108,108,267,365,46,"Treespotters","weldhill","85755;2017;weldhill",357.207391304348,7.57478260869565,0,357.207391304348,1221
"85755",35.054271,-83.201019,"Aesculus","flava",2018,114,117,272,365,46,"Treespotters","weldhill","85755;2018;weldhill",313.551007905138,50.0652173913044,0,351.141877470356,600.5
"85756",35.054271,-83.201019,"Aesculus","flava",2016,110,112,279,366,46,"Treespotters","weldhill","85756;2016;weldhill",386.78337944664,33.7491304347826,0,411.357727272727,221.5
"85756",35.054271,-83.201019,"Aesculus","flava",2017,108,108,NA,365,46,"Treespotters","weldhill","85756;2017;weldhill",357.207391304348,7.57478260869565,0,357.207391304348,1221
"85756",35.054271,-83.201019,"Aesculus","flava",2018,114,117,NA,365,46,"Treespotters","weldhill","85756;2018;weldhill",313.551007905138,50.0652173913044,0,351.141877470356,586.5
"85758",NA,NA,"Aesculus","flava",2016,110,112,290,366,46,"Treespotters","weldhill","85758;2016;weldhill",386.78337944664,33.7491304347826,0,411.357727272727,2045.5
